Name,street_address,city,state,zip_code,post_code,latitude,longitude,green
Comfort Inn Near Old Town Pasadena In Eagle Rock,2300 Colorado Blvd,Los Angeles,California,90041,90041-1145,34.1390884,-118.2167748,1
W Hotel Hollywood,6250 Hollywood Blvd,Los Angeles,California,90028,90028-5309,34.1009554,-118.3258303,1
Best Western Hollywood Plaza Inn,2011 N Highland Ave,Los Angeles,California,90068,90068-3238,34.107214,-118.3378849,1
DoubleTree Los Angeles Downtown,120 South Los Angeles Street,Los Angeles,California,90012,90012-3724,34.0505339,-118.242828,1
Hilton Checkers Los Angeles,535 S Grand Ave,Los Angeles,California,90071,90071-2601,34.0496255,-118.2549693,1
Westin Bonaventure Hotel & Suites,404 South Figueroa Street,Los Angeles,California,90071,90071-1710,34.0522541,-118.2562255,1
Red Lion Hotel Anaheim,1850 S Harbor Blvd,Anaheim,California,92802,92802-3510,33.8019936,-117.9149881,1
Best Western Plus Carriage Inn,5525 Sepulveda Blvd,Los Angeles,California,91411,91411-3438,34.1713325,-118.4667332,1
The LA Hotel Downtown,333 S Figueroa St,Los Angeles,California,90071,90071-1001,34.05437,-118.2552116,1
Courtyard Anaheim Resort Convention Center,2045 S Harbor Blvd,Anaheim,California,92802,92802-3513,33.7975462,-117.916616,1
Fairfield Inn Anaheim Resort,1460 South Harbor Blvd.,Anaheim,California,92802,92802-2311,33.8113497,-117.9137782,1
Luxury Collection SLS Hotel @ Beverly Hills,465 South La Cienega Boulevard,Los Angeles,California,90048,90048-4001,34.0700441,-118.3768147,1
Sofitel Los Angeles,8555 Beverly Blvd,Los Angeles,California,90048,90048-3303,34.0764091,-118.3773761,1
Loews Hollywood Hotel,1755 N Highland Ave,Los Angeles,California,90028,90028-4403,34.103081,-118.3393257,1
Hotel Current,5325 E Pacific Coast Hwy,Long Beach,California,90804,90804-4441,33.7818959,-118.130372,1
Marriott Long Beach,4700 Airport Plaza Dr,Long Beach,California,90815,90815-1252,33.8116232,-118.1387833,1
Best Western Of Long Beach,1725 Long Beach Blvd.,Long Beach,California,90813,90813-1931,33.7887325,-118.1900656,1
Renaissance Long Beach Hotel,111 E Ocean Blvd,Long Beach,California,90802,90802-4794,33.7674056,-118.1915634,1
Hyatt Centric The Pike Long Beach,285 Bay St,Long Beach,California,90802,90802-8161,33.7649615,-118.1948291,1
Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,California,90802,90802-4537,33.7634319,-118.1909578,1
Marriott Anaheim,700 W Convention Way,Anaheim,California,92802,92802-3424,33.7984754,-117.9192248,1
Anaheim Desert Palm Hotel & Suites,631 West Katella Avenue,Anaheim,California,92802,92802-3410,33.8037835,-117.9164329,1
